段落ID,镜头ID,叙事目的,时长,景别,机位,画内人物,动作,表情,人物资产ID,场景资产ID,道具资产ID,开始状态,结束状态,图片工作流,尾帧需求,来源编号,验收状态
SEG001,SH001,建立孙悟空有虚名无实权的处境,4秒,大全景,入口内侧低机位右后方斜拍,孙悟空,孙悟空独自站在蟠桃园入口望向远处天宫,不屑中带无聊,CHAR001,SCENE001,,桃园空镜,孙悟空进入值守状态,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P001,课程参考；学员结果未验收
SEG001,SH002,表现独自看守桃园的无聊,3秒,全景,桃树间侧向观察,孙悟空,孙悟空沿玉石小路独自巡视,百无聊赖,CHAR001,SCENE001,,入口停留,走入桃树之间,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P001,课程参考；学员结果未验收
SEG001,SH003,交代桃园纵深与人物孤独,3秒,超远景,树冠上方轻微俯视,孙悟空,孙悟空背对镜头走向桃园深处,松散随意,CHAR001,SCENE001,,走入桃园,成熟蟠桃进入视野,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P002,课程参考；学员结果未验收
SEG001,SH004,建立关键道具最大蟠桃,3秒,微距特写,桃枝旁微仰,无人物,成熟蟠桃挂在近处枝头,无,,SCENE001,PROP001,桃园环境,蟠桃成为视觉焦点,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P002,课程参考；学员结果未验收
SEG001,SH005,孙悟空产生偷吃念头,3秒,中近景,古树树干后方窥视角度,孙悟空,孙悟空站在树下抬头并确认四下无人,警觉后坏笑,CHAR001,SCENE001,PROP001,看见蟠桃,确认四下无人,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P003,课程参考；学员结果未验收
SEG001,SH006,完成摘桃动作起点,3秒,近景,越过桃枝的侧面角度,孙悟空,孙悟空伸手抓住枝头蟠桃,专注得意,CHAR001,SCENE001,PROP001,手靠近蟠桃,手握蟠桃准备摘下,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P003,课程参考；学员结果未验收
SEG001,SH007,表现偷吃仙桃的满足,4秒,中景,树下向上仰拍,孙悟空,孙悟空坐在高处树枝上大口吃桃,满足惬意,CHAR001,SCENE001,PROP001,蟠桃完整,手中蟠桃出现咬痕,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P003,课程参考；学员结果未验收
SEG001,SH008,明确七仙女奉命到来,4秒,群像全景,天宫云台正面机位,领头仙女加六名随行仙女,恰好七名仙女提空花篮准备进入桃园,从容庄重,CHAR002/CHAR003,,PROP002,孙悟空在园内吃桃,七仙女接近蟠桃园,文生图-Qwen-Image-2512 四步加速,否,SEG001-P004,课程参考；学员结果未验收
SEG001,SH009,确认采桃任务并切换到局部覆盖,3秒,三人中景,小路内侧正面三分之四角度,领头仙女加两名随行仙女,三名画内仙女落地整理空花篮其余四人在画外,平静专注,CHAR002/CHAR003,SCENE001,PROP002,七仙女接近园内,画内代表人物准备采桃,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P004,课程参考；学员结果未验收
SEG001,SH010,孙悟空发现来人,3秒,中远景,树枝后方越肩俯看,孙悟空加四名画内仙女,孙悟空停止吃桃并观察小路上的仙女代表,好奇警觉,CHAR001/CHAR002/CHAR003,SCENE001,PROP001/PROP002,孙悟空继续吃桃,停止吃桃观察来人,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P004,课程参考；学员结果未验收
SEG001,SH011,建立双方第一次正面接触,3秒,全景,小路低机位三分之四角度,孙悟空加领头仙女,孙悟空跃下落地领头仙女在旁停步,自信张扬,CHAR001/CHAR002,SCENE001,PROP002,孙悟空位于树上,孙悟空挡住去路,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P005,课程参考；学员结果未验收
SEG001,SH012,孙悟空询问邀请名单,4秒,双人中景,双方侧面平视,孙悟空加领头仙女,孙悟空抬手询问领头仙女面向他准备回答,得意期待,CHAR001/CHAR002,SCENE001,,双方刚刚站定,领头仙女开始回答,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P005,课程参考；学员结果未验收
SEG001,SH013,仙女列出受邀神仙,4秒,反打中景,孙悟空肩后过肩角度,孙悟空局部加领头仙女,领头仙女面向孙悟空平静列举受邀神仙,认真自然,CHAR001/CHAR002,SCENE001,,领头仙女开始回答,名单接近结束,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P006,课程参考；学员结果未验收
SEG001,SH014,揭晓未邀请齐天大圣,3秒,双人近景,略偏孙悟空一侧,孙悟空加领头仙女,领头仙女说明名单中没有齐天大圣孙悟空笑容僵住,平静对比错愕,CHAR001/CHAR002,SCENE001,PROP001,孙悟空仍在微笑,孙悟空听清自己未获邀请,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P006,课程参考；学员结果未验收
SEG001,SH015,形成受辱愤怒的结尾钩子,4秒,脸部与上半身特写,正面微低角度,孙悟空,孙悟空握紧吃掉近一半且露出果肉的蟠桃,笑容消失转为压抑愤怒,CHAR001,SCENE001,PROP001,得意期待,愤怒即将爆发,图生图-FLUX.2 Klein 4B 多图参考编辑,否,SEG001-P006,课程参考；学员结果未验收
