段落ID,镜头ID,视频工作流,任务类型,输入素材,时长,视频提示词,输出文件名,状态
SEG001,SH001,MiniMax-H3-I2V-Image-to-Video,I2V,SH001.png,5秒,以输入首帧为起点，生成一个连续的五秒单镜头。零到两秒，孙悟空背对镜头站在蟠桃园入口，安静望向桃园深处与远处宫殿；两到四秒，他轻轻转头观察两侧桃树，肩膀微微下沉，显出独自值守的无聊；四到五秒，他迈步沿玉石小路进入桃园。镜头从大全景缓慢向前推进，仙雾、桃叶和暗红披风只有轻微风动。保持孙悟空的面部侧影、紫金凤翅冠、金甲、暗红披风、入口石灯、白玉栏杆、玉石小路和宫殿一致，不增加人物，不出现文字、水印、闪烁或突然切换镜头。,SH001-蟠桃园入口值守.mp4,课程参考；学员结果未验收
SEG001,SH002,MiniMax-H3-I2V-Image-to-Video,I2V,SH002.png,5秒,以输入首帧为起点，生成一个连续的五秒单镜头。零到两秒，孙悟空沿玉石小路缓慢向桃园深处走去，步伐松散；两到四秒，他懒散地打一个哈欠，抬手轻轻挠耳朵，神情百无聊赖；四到五秒，他放下手臂继续向前走。镜头在侧面以相同速度平稳跟随，桃叶和披风只有轻微风动。保持孙悟空的脸、紫金凤翅冠、金甲、暗红披风、黑色战靴、桃树、石灯、栏杆和宫殿一致，不增加人物，不出现文字、水印、闪烁或突然切换镜头。,SH002-无聊巡视.mp4,课程参考；学员结果未验收
SEG001,SH003,MiniMax-H3-I2V-Image-to-Video,I2V,SH003.png,5秒,以输入首帧为起点，生成一个连续的五秒单镜头。零到三秒，孙悟空背对镜头沿中央玉石小路缓慢走向桃园深处，身后的披风随步伐轻微摆动；三到五秒，他逐渐放慢脚步并抬头看向右前方树冠，像是发现了什么。镜头保持超远景并非常缓慢地向前推进，强化桃园纵深和人物孤独感，仙雾与树叶轻轻流动。保持孙悟空、桃树、宫殿、白玉栏杆、石灯和小路空间关系不变，不增加人物，不出现文字、水印、闪烁或突然切换镜头。,SH003-走向桃园深处.mp4,课程参考；学员结果未验收
SEG001,SH004,MiniMax-H3-I2V-Image-to-Video,I2V,SH004.png,5秒,以输入首帧为起点，生成一个连续的五秒微距镜头。零到三秒，枝头最大最成熟的蟠桃在微风中极轻地摆动，果皮水珠缓慢滑过，周围叶片产生自然细小颤动；三到五秒，镜头非常缓慢地向蟠桃推进，让果实成为唯一视觉焦点，远处桃园和宫殿保持柔和虚化。保持蟠桃的形状、颜色、绒毛、水珠、枝条和叶片结构不变，不让果实复制、脱落或突然变形，不增加人物，不出现文字、水印、闪烁或突然切换镜头。,SH004-最大蟠桃特写.mp4,课程参考；学员结果未验收
SEG001,SH005,MiniMax-H3-I2V-Image-to-Video,I2V,SH005.png,5秒,以输入首帧为起点，生成一个连续的五秒单镜头。零到两秒，孙悟空站在古树树干形成的框景中，先迅速看向左侧，再转头确认右侧无人；两到四秒，他重新抬眼看向头顶的大蟠桃，眉毛扬起，警觉神情逐渐变成顽皮坏笑；四到五秒，他轻轻抬起右手准备摘桃。镜头从中近景小幅向前推进，树叶和披风只有轻微风动。保持孙悟空的脸、紫金凤翅冠、金甲、暗红披风、树干框景、蟠桃和桃园一致，不增加人物，不出现文字、水印、闪烁或突然切换镜头。,SH005-确认四下无人.mp4,课程参考；学员结果未验收
SEG001,SH006,MiniMax-H3-I2V-Image-to-Video,I2V,SH006.png,5秒,以输入首帧为起点，生成一个连续的五秒单镜头。零到两秒，孙悟空右手已经稳稳握住枝头蟠桃，手指轻轻收紧，眼睛专注看着果实；两到四秒，他转动手腕将蟠桃从枝头摘下，细枝和叶片随受力轻微弯曲后自然回弹；四到五秒，他把摘下的完整蟠桃收向胸前，露出得意笑容。镜头保持近景并轻微向右手和蟠桃推进。保持孙悟空的脸、头冠、金甲、手指、蟠桃大小、枝条和桃园一致，只摘下一颗蟠桃，不换手、不复制果实，不增加人物，不出现文字、水印、闪烁或突然切换镜头。,SH006-摘下蟠桃.mp4,课程参考；学员结果未验收
SEG001,SH007,MiniMax-H3-I2V-Image-to-Video,I2V,SH007.png,5秒,以输入首帧为起点，生成一个连续的五秒单镜头。零到两秒，孙悟空坐在桃树枝上，低头咬一口手中的蟠桃；两到四秒，他慢慢咀嚼，眼神满足，肩部逐渐放松；四到五秒，他停止咀嚼，像是听见远处动静，抬眼看向蟠桃园入口。镜头从中景缓慢向前推进，桃叶和红色披风只产生轻微风动。保持孙悟空的面部、紫金凤翅冠、金甲、红披风、蟠桃和桃园一致，不增加人物，不出现文字、水印、闪烁或突然切换镜头。,SH007-树上吃桃.mp4,课程参考；学员结果未验收
SEG001,SH008,MiniMax-H3-I2V-Image-to-Video,I2V,SH008.png,5秒,以输入首帧为起点，生成一个连续的五秒单镜头。零到三秒，恰好七名仙女保持前后层次，提着各自花篮从云台缓步向前，衣袖和裙摆随仙风轻轻摆动，花篮只产生小幅自然晃动；三到五秒，领头仙女微微抬眼看向蟠桃园方向，其余六名仙女保持从容队形继续跟随。镜头在正面缓慢后退并保持群像完整。严格保持恰好七名仙女、各自面容、发髻、衣裙颜色、花篮数量和站位关系不变，不复制、减少或互换人物，不出现孙悟空、文字、水印、闪烁或突然切换镜头。,SH008-七仙女到来.mp4,课程参考；学员结果未验收
SEG001,SH009,MiniMax-H3-I2V-Image-to-Video,I2V,SH009.png,5秒,以输入首帧为起点，生成一个连续的五秒单镜头。零到两秒，画面中的三名仙女在玉石小路中央停稳，各自轻轻整理手中的空花篮；两到四秒，领头仙女抬手示意道路两侧成熟的蟠桃，另外两名仙女顺着她的手势抬头观察树冠；四到五秒，三人准备继续向前采桃。镜头保持三人全景并非常缓慢地向前推进，桃叶和衣袖轻轻摆动。保持画面中只有这三名仙女，另外四名仙女继续位于画外，不增加人物，不改变花篮归属、衣裙颜色、桃园道路、石灯和宫殿，不出现文字、水印、闪烁或突然切换镜头。,SH009-仙女准备采桃.mp4,课程参考；学员结果未验收
SEG001,SH010,MiniMax-H3-I2V-Image-to-Video,I2V,SH010.png,5秒,以输入首帧为起点，生成一个连续的五秒单镜头。零到两秒，孙悟空坐在树枝上停止继续咬桃，咀嚼动作逐渐停下，耳朵轻轻一动；两到四秒，他转动眼睛并缓慢侧头看向下方小路上的四名仙女，神情从满足转为好奇警觉；四到五秒，仙女们察觉树上动静并停下脚步抬头看向他。镜头从中远景轻微向孙悟空推进，保持树上与小路的空间关系清楚。保持孙悟空、手中带咬痕的蟠桃、树枝、画面中的四名仙女、花篮和桃园一致，不新增人物，不出现文字、水印、闪烁或突然切换镜头。,SH010-悟空发现仙女.mp4,课程参考；学员结果未验收
