段落ID,镜头ID,资产引用,首帧提示词,状态
SEG001,SH001,SCENE001+CHAR001,把摄影机放在蟠桃园入口内侧较低位置，从孙悟空右后方斜看向园门和远处宫殿；孙悟空独自站在画面左侧，身体朝向园内却望向天宫屋顶，紫金凤翅冠、金甲、暗红披风和唯一一条自然弯曲的尾巴保持一致，桃树、白玉栏杆、石灯和云气维持同一空间关系。,课程参考；学员结果未验收
SEG001,SH002,SCENE001+CHAR001,从桃树行列间侧向观察玉石小路，孙悟空以全身侧后方姿态独自缓慢巡视，双臂自然下垂、身体松散，周围没有其他人物，场景地标和明亮云气保持稳定。,课程参考；学员结果未验收
SEG001,SH003,SCENE001+CHAR001,摄影机升到树冠上方形成轻微俯视的超远景，孙悟空背对镜头走在中央小路远处，以近处桃枝框住园门和宫殿屋顶，突出桃园纵深与孤独值守。,课程参考；学员结果未验收
SEG001,SH004,SCENE001+PROP001,桃枝旁微仰的微距特写，一颗成熟饱满的粉金色蟠桃成为唯一焦点，果沟、绒毛、露珠、短果梗和青绿桃叶清楚可见，远处桃园地标自然虚化，不出现人物。,课程参考；学员结果未验收
SEG001,SH005,SCENE001+CHAR001+PROP001,摄影机藏在古桃树粗壮树干后方形成窥视感，孙悟空站在树下抬头看向最大蟠桃，同时向左右确认周围无人，嘴角刚露出坏笑，人物装束和场景结构保持一致。,课程参考；学员结果未验收
SEG001,SH006,SCENE001+CHAR001+PROP001,越过桃枝看向孙悟空的侧面近景，他的脸、金甲上半身和伸出的右手清楚可见，右手刚抓住枝头唯一一颗蟠桃，人物面部与紫金冠保持一致，背景桃园轻微虚化。,课程参考；学员结果未验收
SEG001,SH007,SCENE001+CHAR001+PROP001,从桃树下方向上仰拍，孙悟空坐在粗壮树枝上，一条腿自然垂下，双手捧着已经咬过的蟠桃靠近嘴边，脸上满足惬意，红披风从树枝后方垂落。,课程参考；学员结果未验收
SEG001,SH008,CHAR002+CHAR003+PROP002,天宫云台与明亮云层前，画面中恰好七名仙女完整站立，领头青衣仙女位于中央前方，其余六名仙女分列两侧并穿淡粉、浅紫、鹅黄、月白、浅蓝和淡绿衣裙，每人只提一只内部空置的采桃花篮，作为七仙女抵达蟠桃园前的群像交代镜头。,课程参考；学员结果未验收
SEG001,SH009,SCENE001+CHAR002+CHAR003+PROP002,蟠桃园小路内侧的正面三分之四中景，只呈现领头仙女和两名随行仙女落地整理空花篮，其余四名仙女位于画外，三人保持统一天宫服装体系，园门、桃树和光线与前后镜头连续。,课程参考；学员结果未验收
SEG001,SH010,SCENE001+CHAR001+CHAR002+CHAR003+PROP001+PROP002,从孙悟空所在树枝附近斜看向下方小路，孙悟空坐在右侧近处树枝上并停止吃桃，手拿咬过的蟠桃观察画内四名仙女代表，其余仙女位于画外，形成清楚的上下空间与视线关系。,课程参考；学员结果未验收
SEG001,SH011,SCENE001+CHAR001+CHAR002+PROP002,蟠桃园小路低机位全景，孙悟空穿金甲、戴紫金冠落在画面中央，暗红披风向后扬起；领头青衣仙女站在右侧手提一只空花篮看向他，画面只保留当前动作需要的两人。,课程参考；学员结果未验收
SEG001,SH012,SCENE001+CHAR001+CHAR002,双方侧面的平视双人中景，孙悟空位于左侧做出随意询问手势并带着得意期待，领头青衣仙女位于右侧面向他准备回答，画面只保留两名对话人物。,课程参考；学员结果未验收
SEG001,SH013,SCENE001+CHAR001+CHAR002,孙悟空肩后的反打过肩镜头，近处只见金甲肩部、红披风和紫金冠边缘，领头青衣仙女位于右侧中景并用右手自然列举受邀神仙，其他仙女全部位于画外。,课程参考；学员结果未验收
SEG001,SH014,SCENE001+CHAR001+CHAR002+PROP001,胸口以上双人近景，领头青衣仙女位于右侧平静说明名单中没有齐天大圣，孙悟空位于左侧握着吃过的蟠桃，原本自信的笑容刚开始僵住，少量随行仙女只作远处虚化轮廓。,课程参考；学员结果未验收
SEG001,SH015,SCENE001+CHAR001+PROP001,孙悟空正面微低角度的脸部与上半身特写，他右手用力握住已经吃掉近一半的蟠桃，桃子有大块缺口并露出浅黄色果肉，嘴角笑意完全消失，琥珀色眼睛显出被轻视后的压抑愤怒，背景不出现其他人物。,课程参考；学员结果未验收
